iter	Logloss
0	0.6693436765
1	0.6452762675
2	0.6265175698
3	0.6100145592
4	0.5919157715
5	0.5778952311
6	0.5629542525
7	0.5515555254
8	0.5391499538
9	0.5311894863
10	0.5189091953
11	0.5123244234
12	0.5036139438
13	0.4947843327
14	0.4888231448
15	0.481898557
16	0.4765018444
17	0.4716143374
18	0.4668868322
19	0.4608121833
20	0.4563267203
21	0.4486973918
22	0.4456475912
23	0.4408566548
24	0.4356023579
25	0.4289749853
26	0.4247323227
27	0.4213708369
28	0.4195278443
29	0.4166877595
30	0.4128741589
31	0.4094275559
32	0.4060769122
33	0.40205159
34	0.3973439838
35	0.3945107107
36	0.392066657
37	0.3900664098
38	0.388804084
39	0.3868002712
40	0.3848895641
41	0.3836257709
42	0.3819632442
43	0.3795148853
44	0.3745832059
45	0.3725790115
46	0.3705056427
47	0.3684299005
48	0.3664401242
49	0.3645004578
50	0.3623645574
51	0.3593094494
52	0.3578896959
53	0.3552651905
54	0.3539043273
55	0.3530871494
56	0.3522701784
57	0.3517748836
58	0.3511363665
59	0.35066205
60	0.3501549609
61	0.3491274025
62	0.347904448
63	0.3473364824
64	0.3464712385
65	0.3446507889
66	0.3438371266
67	0.3426463809
68	0.3409976284
69	0.3405105824
70	0.3397905736
71	0.3390804852
72	0.3379963043
73	0.336961829
74	0.3363713613
75	0.3355877499
76	0.3350680201
77	0.3340791823
78	0.33337928
79	0.3329257995
80	0.3320917205
81	0.3308044238
82	0.3296511445
83	0.3292845595
84	0.3283006718
85	0.327882233
86	0.3273487343
87	0.3269391763
88	0.3265998386
89	0.3262512352
90	0.3258731901
91	0.3252623234
92	0.3250486687
93	0.3247350303
94	0.3240164276
95	0.3235207643
96	0.3230589137
97	0.3226771903
98	0.3220272609
99	0.321606959
100	0.3212861519
101	0.3208248943
102	0.3206144729
103	0.3203835348
104	0.319863045
105	0.318841234
106	0.3185603046
107	0.3181626739
108	0.3176338609
109	0.3172529622
110	0.3168457674
111	0.3159736216
112	0.3150905407
113	0.3146559951
114	0.3142273629
115	0.3138168737
116	0.3135210811
117	0.3131516711
118	0.3128992727
119	0.3124658714
120	0.311928923
121	0.3116480224
122	0.311248901
123	0.3108895703
124	0.3103767792
125	0.3100222511
126	0.3096198774
127	0.3093520188
128	0.3090522985
129	0.3087642373
130	0.3083813192
131	0.3079362588
132	0.3077530037
133	0.307341567
134	0.3070363929
135	0.3067282639
136	0.306520649
137	0.3060424881
138	0.3057439169
139	0.3054950694
140	0.3050278463
141	0.304695348
142	0.3044280495
143	0.3038408729
144	0.3033263139
145	0.30300345
146	0.3028229103
147	0.3024895461
148	0.3022092662
149	0.302057014
150	0.3018103006
151	0.3014724311
152	0.3011893028
153	0.3005895931
154	0.3002698171
155	0.3000633971
156	0.2998133311
157	0.2995114174
158	0.2993195557
159	0.2989896377
160	0.2987173104
161	0.2984013077
162	0.2980616577
163	0.2975984965
164	0.297298086
165	0.2971057009
166	0.2968383456
167	0.2966284127
168	0.2963207918
169	0.2959436032
170	0.295708942
171	0.2954468004
172	0.2950352797
173	0.2944224961
174	0.2941067623
175	0.293784138
176	0.2934566457
177	0.2932497226
178	0.2928725685
179	0.2925586071
180	0.2920622532
181	0.2918122356
182	0.2914615715
183	0.2908098475
184	0.2905289674
185	0.290316242
186	0.290067228
187	0.2898802216
188	0.2895031965
189	0.2892350536
190	0.2890008087
191	0.2882803929
192	0.2879574981
193	0.2877381023
194	0.2875488395
195	0.2870326788
196	0.2868061716
197	0.2863203011
198	0.2860211593
199	0.2854157411
200	0.2850970302
201	0.2842835386
202	0.283864566
203	0.2835661997
204	0.283389816
205	0.2830833322
206	0.2827364122
207	0.2824870731
208	0.2823001779
209	0.2819847519
210	0.2814440867
211	0.2811862591
212	0.281026579
213	0.2806853954
214	0.2804778878
215	0.280114604
216	0.2798116533
217	0.2793112762
218	0.2789501437
219	0.2787326373
220	0.2784898376
221	0.2782355777
222	0.2779304476
223	0.2776289437
224	0.2772352384
225	0.2768783355
226	0.2767155962
227	0.2765262907
228	0.2762784533
229	0.2758407786
230	0.2755785375
231	0.2752727786
232	0.2749284711
233	0.274630406
234	0.2745138758
235	0.274326318
236	0.274168477
237	0.2737300751
238	0.2733857576
239	0.2731584037
240	0.2728716563
241	0.2726414773
242	0.2724110472
243	0.2719527948
244	0.2714850642
245	0.2713239654
246	0.2710016907
247	0.2708145285
248	0.2704869889
249	0.2700632779
250	0.2696975756
251	0.2694385076
252	0.2691768782
253	0.2688630739
254	0.2685981359
255	0.2683686433
256	0.2681489971
257	0.2678363228
258	0.2676337674
259	0.2673968972
260	0.2671783281
261	0.2670738412
262	0.2668450398
263	0.2665507228
264	0.266351419
265	0.2658505336
266	0.2654707378
267	0.2652002843
268	0.2649616383
269	0.2647609643
270	0.2644808357
271	0.2642300415
272	0.2640626567
273	0.2637879125
274	0.2635299978
275	0.2633846959
276	0.2630282663
277	0.26244532
278	0.2620444573
279	0.2617430976
280	0.2614947181
281	0.2611779143
282	0.2608250145
283	0.2606342584
284	0.2602934956
285	0.2600385545
286	0.2596662362
287	0.2593255938
288	0.2591387886
289	0.2588880037
290	0.2584582401
291	0.2582213858
292	0.2579118437
293	0.25771085
294	0.2574945373
295	0.2572481564
296	0.2569106605
297	0.2566392722
298	0.2563156712
299	0.2560188108
